model,cv_acc_mean,cv_acc_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_ap_mean,cv_ap_std
LogReg,0.9874503968253968,0.018230499492361496,0.9860465116279069,0.02790697674418605,0.9949999999999999,0.010000000000000009,0.9902394387677292,0.014073510548919787,1.0,0.0,1.0,0.0
RandomForest,0.99375,0.012499999999999999,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9951219512195122,0.009756097560975618,0.9991666666666668,0.0016666666666666607,0.9995180023228804,0.0009639953542392556
