variant,model,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ap_mean,ap_std
categorical (baseline),LogReg,0.9874503968253968,0.018230499492361496,0.9860465116279069,0.02790697674418605,0.9949999999999999,0.010000000000000009,0.9902394387677292,0.014073510548919787,1.0,0.0,1.0,0.0
categorical (baseline),RandomForest,0.99375,0.012499999999999999,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9951219512195122,0.009756097560975618,0.9991666666666668,0.0016666666666666607,0.9995180023228804,0.0009639953542392556
ordinal numeric (sg/al/su),LogReg,0.9875,0.018221724671391562,0.9860465116279069,0.02790697674418605,0.9949999999999999,0.010000000000000009,0.990239438767729,0.014073510548919786,0.9995833333333334,0.0008333333333333747,0.9997619047619046,0.0004761904761904745
ordinal numeric (sg/al/su),RandomForest,0.99375,0.012499999999999999,0.9904761904761905,0.019047619047619067,1.0,0.0,0.9951219512195122,0.009756097560975618,0.9991666666666668,0.0016666666666666607,0.9995180023228804,0.0009639953542392556
